日期,股票代码,名称,涨跌幅
2013/9/13,'399300,沪深300,-0.7399
2013/9/12,'399300,沪深300,0.9894
2013/9/11,'399300,沪深300,0.323
2013/9/10,'399300,沪深300,1.4048
2013/9/9,'399300,沪深300,3.5129
2013/9/6,'399300,沪深300,0.6853
2013/9/5,'399300,沪深300,-0.3813
2013/9/4,'399300,沪深300,-0.1615
2013/9/3,'399300,沪深300,1.4721
2013/9/2,'399300,沪深300,0.2781
2013/8/30,'399300,沪深300,-0.1898
2013/8/29,'399300,沪深300,-0.4186
2013/8/28,'399300,沪深300,-0.5479
2013/8/27,'399300,沪深300,0.2254
2013/8/26,'399300,沪深300,2.1289
2013/8/23,'399300,沪深300,-0.738
2013/8/22,'399300,沪深300,-0.2017
2013/8/21,'399300,沪深300,-0.1676
2013/8/20,'399300,沪深300,-0.8134
2013/8/19,'399300,沪深300,1.1842
2013/8/16,'399300,沪深300,-0.7509
2013/8/15,'399300,沪深300,-1.1708
2013/8/14,'399300,沪深300,-0.4234
2013/8/13,'399300,沪深300,0.2667
2013/8/12,'399300,沪深300,2.9214
2013/8/9,'399300,沪深300,0.4053
2013/8/8,'399300,沪深300,-0.1684
2013/8/7,'399300,沪深300,-0.5676
2013/8/6,'399300,沪深300,0.6721
2013/8/5,'399300,沪深300,1.3824
2013/8/2,'399300,沪深300,0.0846
2013/8/1,'399300,沪深300,2.3868
2013/7/31,'399300,沪深300,0.1659
2013/7/30,'399300,沪深300,0.6166
2013/7/29,'399300,沪深300,-2.16
2013/7/26,'399300,沪深300,-0.6111
2013/7/25,'399300,沪深300,-0.5099
2013/7/24,'399300,沪深300,-0.7368
2013/7/23,'399300,沪深300,2.8906
2013/7/22,'399300,沪深300,0.5346
2013/7/19,'399300,沪深300,-2.4429
2013/7/18,'399300,沪深300,-1.643
2013/7/17,'399300,沪深300,-1.5105
2013/7/16,'399300,沪深300,0.4573
2013/7/15,'399300,沪深300,1.403
2013/7/12,'399300,沪深300,-2.2055
2013/7/11,'399300,沪深300,4.6142
2013/7/10,'399300,沪深300,2.8389
2013/7/9,'399300,沪深300,-0.0439
2013/7/8,'399300,沪深300,-2.8394
2013/7/5,'399300,沪深300,0.2192
2013/7/4,'399300,沪深300,0.8236
2013/7/3,'399300,沪深300,-0.8171
2013/7/2,'399300,沪深300,0.3916
2013/7/1,'399300,沪深300,0.5761
2013/6/28,'399300,沪深300,1.8468
2013/6/27,'399300,沪深300,-0.3488
2013/6/26,'399300,沪深300,0.1328
2013/6/25,'399300,沪深300,-0.2666
2013/6/24,'399300,沪深300,-6.3081
2013/6/21,'399300,沪深300,-0.1754
2013/6/20,'399300,沪深300,-3.3031
2013/6/19,'399300,沪深300,-0.7434
2013/6/18,'399300,沪深300,0.6201
2013/6/17,'399300,沪深300,-0.5351
2013/6/14,'399300,沪深300,0.7014
2013/6/13,'399300,沪深300,-3.3904
2013/6/7,'399300,沪深300,-1.7282
2013/6/6,'399300,沪深300,-1.2768
2013/6/5,'399300,沪深300,-0.1998
2013/6/4,'399300,沪深300,-1.42
2013/6/3,'399300,沪深300,-0.1459
2013/5/31,'399300,沪深300,-1.059
2013/5/30,'399300,沪深300,-0.3117
2013/5/29,'399300,沪深300,-0.068
2013/5/28,'399300,沪深300,1.7223
2013/5/27,'399300,沪深300,0.0908
2013/5/24,'399300,沪深300,0.5567
2013/5/23,'399300,沪深300,-1.3439
2013/5/22,'399300,沪深300,0.1217
2013/5/21,'399300,沪深300,0.201
2013/5/20,'399300,沪深300,0.6774
2013/5/17,'399300,沪深300,1.5411
2013/5/16,'399300,沪深300,1.8263
2013/5/15,'399300,沪深300,0.5449
2013/5/14,'399300,沪深300,-1.479
2013/5/13,'399300,沪深300,-0.3962
2013/5/10,'399300,沪深300,0.5159
2013/5/9,'399300,沪深300,-0.5901
2013/5/8,'399300,沪深300,0.5083
2013/5/7,'399300,沪深300,0.1566
2013/5/6,'399300,沪深300,1.3266
2013/5/3,'399300,沪深300,1.7665
2013/5/2,'399300,沪深300,0.0953
2013/4/26,'399300,沪深300,-0.8335
2013/4/25,'399300,沪深300,-1.1101
2013/4/24,'399300,沪深300,1.8824
2013/4/23,'399300,沪深300,-3.2086
2013/4/22,'399300,沪深300,-0.1246
2013/4/19,'399300,沪深300,2.7984
2013/4/18,'399300,沪深300,0.2594
2013/4/17,'399300,沪深300,-0.0455
2013/4/16,'399300,沪深300,0.9346
2013/4/15,'399300,沪深300,-1.0273
2013/4/12,'399300,沪深300,-0.6362
2013/4/11,'399300,沪深300,-0.2991
2013/4/10,'399300,沪深300,-0.1655
2013/4/9,'399300,沪深300,0.6929
2013/4/8,'399300,沪深300,-0.4529
2013/4/3,'399300,沪深300,-0.1144
2013/4/2,'399300,沪深300,-0.2726
2013/4/1,'399300,沪深300,-0.076
2013/3/29,'399300,沪深300,-0.1688
2013/3/28,'399300,沪深300,-3.2602
2013/3/27,'399300,沪深300,0.3293
2013/3/26,'399300,沪深300,-1.456
2013/3/25,'399300,沪深300,-0.199
2013/3/22,'399300,沪深300,0.127
2013/3/21,'399300,沪深300,0.1844
2013/3/20,'399300,沪深300,3.3693
2013/3/19,'399300,沪深300,0.9033
2013/3/18,'399300,沪深300,-1.4717
2013/3/15,'399300,沪深300,0.221
2013/3/14,'399300,沪深300,0.2685
2013/3/13,'399300,沪深300,-1.1007
2013/3/12,'399300,沪深300,-1.4179
2013/3/11,'399300,沪深300,-0.5583
